question_id,image_width,image_height,image_tokens,multimodal_input_tokens,text_only_input_tokens,multimodal_processor_ms,text_only_processor_ms,multimodal_transfer_ms,text_only_transfer_ms,multimodal_forward_ms,text_only_forward_ms,vision_encoder_ms,multimodal_language_model_ms,text_only_language_model_ms,multimodal_other_ms,text_only_other_ms,visual_path_delta_ms,language_model_visual_token_delta_ms,multimodal_decode_ms,text_only_decode_ms,decode_visual_cache_delta_ms,multimodal_decode_ms_per_token,text_only_decode_ms_per_token
452,384,120,75,267,190,7.5348750106059015,5.38108401815407,9.01850001537241,1.6095000028144568,1399.2523339984473,614.2537079867907,504.674417024944,819.5105000049807,587.837541999761,75.0674169685226,26.41616598702967,784.9986260116566,231.6729580052197,0.0,0.0,0.0,0.0,0.0
453,400,267,96,272,174,8.152374997735023,3.890541003784165,9.345750004285946,1.528583001345396,1736.8330829776824,621.8544580042362,644.8107920004986,1020.5806670128368,592.1462090045679,71.44162396434695,29.708248999668285,1114.9786249734461,428.43445800826885,0.0,0.0,0.0,0.0,0.0
454,400,267,96,290,192,8.210792002500966,4.586958006257191,2.6731670077424496,2.0506249857135117,1507.33283298905,680.3778339817654,504.93445800384507,954.6224999940023,653.6297080165241,47.77587499120273,26.748125965241343,826.9549990072846,300.9927919774782,0.0,0.0,0.0,0.0,0.0
477,320,192,77,250,171,8.806249999906868,4.097583005204797,2.052875002846122,1.64974998915568,1472.4783749843482,651.686791999964,572.3242920066696,840.8409169933293,620.733374991687,59.313165984349325,30.95341700827703,820.7915829843841,220.1075420016423,0.0,0.0,0.0,0.0,0.0
478,55,256,72,239,165,6.7797919909935445,3.9354999898932874,6.273707986110821,7.842667022487149,1413.2525419990998,656.4648749772459,557.1880420029629,776.639041985618,635.515417001443,79.42545801051892,20.949457975802943,756.7876670218538,141.12362498417497,0.0,0.0,0.0,0.0,0.0
480,338,162,72,237,163,8.890665980288759,4.486916994210333,2.947291999589652,2.085457992507145,1415.9366250096355,659.3965830106754,547.6819580071606,786.5941250056494,632.8694999974687,81.66054199682549,26.52708301320672,756.5400419989601,153.72462500818074,0.0,0.0,0.0,0.0,0.0
481,400,267,96,298,200,8.48262498038821,5.672917002812028,9.211124997818843,2.366333006648347,1744.292540999595,797.1965420001652,624.5113330078311,1025.622791989008,770.3089999849908,94.15841600275598,26.887542015174404,947.0959989994299,255.31379200401716,0.0,0.0,0.0,0.0,0.0
482,400,267,96,277,179,8.112042007269338,4.090417001862079,8.99125001160428,1.5955829876475036,1819.9807910132222,686.6074170102365,626.94362498587,1107.9000839963555,659.8867499851622,85.13708203099668,26.720667025074363,1133.3733740029857,448.01333401119336,0.0,0.0,0.0,0.0,0.0
484,357,227,77,250,171,7.219999999506399,4.44833398796618,3.362166986335069,2.4058339768089354,1441.5217910136562,635.9830420115031,596.3898339832667,811.854333995143,616.2005420192145,33.277623035246506,19.78249999228865,805.538749002153,195.65379197592847,0.0,0.0,0.0,0.0,0.0
486,400,267,96,256,158,9.452416998101398,3.041791991563514,3.148584015434608,0.9962920157704502,1578.0590830254368,616.6375419998076,641.7389170092065,869.7923750150949,597.0085829903837,66.52779100113548,19.628959009423852,961.4215410256293,272.78379202471115,0.0,0.0,0.0,0.0,0.0
487,400,267,96,300,202,9.404457989148796,4.803125018952414,6.925374997081235,1.889374980237335,1803.3981249900535,786.8432499817573,626.4884170086589,1089.3488329893444,758.5430830076803,87.56087499205023,28.300166974077,1016.5548750082962,330.8057499816641,0.0,0.0,0.0,0.0,0.0
488,400,267,96,309,211,8.9579580235295,4.659915983211249,6.5054580045398325,1.996167004108429,1971.1710420087911,857.6151249872055,725.427708006464,1157.4823750124779,832.2575000056531,88.26095898984931,25.357624981552362,1113.5559170215856,325.22487500682473,0.0,0.0,0.0,0.0,0.0
858,183,487,90,164,72,6.219542003236711,3.3250830019824207,7.646042009582743,1.8265830003656447,1346.7555830138735,389.7592079883907,655.6984999915585,601.7770420003217,362.87158401682973,89.28004102199338,26.88762397156097,956.9963750254828,238.90545798349194,0.0,0.0,0.0,0.0,0.0
863,497,53,75,166,89,7.918084011180326,2.6337500021327287,9.176124993246049,1.5149999817367643,1405.0182079954538,382.3719999927562,591.8260419857688,707.8650410112459,363.6272919829935,105.3271249984391,18.74470800976269,1022.6462080026977,344.23774902825244,0.0,0.0,0.0,0.0,0.0
